carpark_id,area,address,x_coordinate,y_coordinate,latitude,longitude,total_lots,agency,dataset
U30,BUKIT BATOK,BLK 523-525 BUKIT BATOK STREET 52,19027.5388,37666.3629,1.356914375548832,103.7526951581767,143.0,HDB,hdb
U31,BUKIT BATOK,BLKS 526-534 BUKIT BATOK STREET 51,18847.0784,37666.2614,1.3569134026813714,103.75107360482822,348.0,HDB,hdb
U32,BUKIT BATOK,BLKS 512-514 BUKIT BATOK STREET 52,19018.5011,37355.1895,1.354100234198131,103.75261404178178,128.0,HDB,hdb
U33,BUKIT BATOK,BLKS 535-542 BUKIT BATOK STREET 51/52,18873.0414,37452.2798,1.3549782392536949,103.75130696430497,290.0,HDB,hdb
U34,BUKIT BATOK,BLKS 501-511 BUKIT BATOK STREET 52,19139.7066,37093.5044,1.3517336858231885,103.75370322750753,303.0,HDB,hdb
U38,BUKIT BATOK,BLK 185/187 BUKIT BATOK WEST AVENUE 6,18124.0483,36539.8249,1.3467260929497138,103.74457708245401,115.0,HDB,hdb
U39,BUKIT BATOK,BLK 631 BUKIT BATOK CENTRAL,18837.6188,36875.2113,1.3497594316284764,103.75098884548026,248.0,HDB,hdb
U4,BUKIT BATOK,BLK 140/143 BUKIT BATOK STREET 11,17973.0318,36974.1108,1.3506535652301486,103.74321996303709,259.0,HDB,hdb
U40,BUKIT BATOK,BLK 644A BUKIT BATOK CENTRAL,18879.8441,36750.5885,1.3486324013971243,103.75136830370435,288.0,HDB,hdb
U41,BUKIT BATOK,BLK 632/644 BUKIT BATOK CENTRAL,18955.5289,36844.8175,1.3494845970551803,103.75204834998063,30.0,HDB,hdb
U43,BUKIT BATOK,BLK 404A BUKIT BATOK WEST AVENUE 7,18275.4565,38569.6475,1.3650831137381514,103.74593691879758,270.0,HDB,hdb
U45,BUKIT BATOK,BLK 285A BUKIT BATOK EAST AVENUE 3,19606.6244,36561.0495,1.3469184920371335,103.75789892567143,159.0,HDB,hdb
U46,BUKIT BATOK,BLK 297 - 299 BUKIT BATOK ST 22 BUKIT BATOK STREET 22,18463.4479,36256.9749,1.3441682107567352,103.74762688341622,241.0,HDB,hdb
U48,BUKIT BATOK,BLK 350 BUKIT BATOK STREET 32,18590.8011,38166.1707,1.3614343194045224,103.7487706304378,93.0,HDB,hdb
U5,BUKIT BATOK,BLK 144/149 BUKIT BATOK WEST AVENUE 6,18135.2799,36917.0123,1.350137241282892,103.74467788179155,101.0,HDB,hdb
U50,BUKIT BATOK,BLK 230A BUKIT BATOK ST 21 BUKIT BATOK STREET 21,19356.5349,36607.8807,1.3473419453360576,103.75565170531753,38.0,HDB,hdb
U51,BUKIT BATOK,BLK 412A BUKIT BATOK WEST AVENUE 4,18336.325,38543.2265,1.364844191857187,103.74648387196004,350.0,HDB,hdb
U52,BUKIT BATOK,BLK 194 BUKIT BATOK WEST AVENUE 6,18172.9985,36305.5813,1.3446076956720507,103.74501700592951,952.0,HDB,hdb
U54,BUKIT BATOK,241A BUKIT BATOK EAST AVENUE 5,19312.2301,36987.8524,1.350778258267435,103.75525349002393,235.0,HDB,hdb
U55,BUKIT BATOK,BLK 445 BUKIT BATOK WEST AVENUE 8,17419.4393,36994.0568,1.3508337587853534,103.73824558370232,350.0,HDB,hdb
U56,BUKIT BATOK,BLK 443 BUKIT BATOK WEST AVENUE 8,17317.656,37581.4848,1.3561462048594246,103.73733078865924,1004.0,HDB,hdb
U57,BUKIT BATOK,BLK 293 BUKIT BATOK STREET 21,19323.1576,36459.7662,1.3460024420437309,103.75535183241456,1070.0,HDB,hdb
U58,BUKIT BATOK,BLK 448 BT BATOK WEST AVENUE 9,17667.3706,37138.9724,1.3521444088813601,103.74047335066804,850.0,HDB,hdb
U6,BUKIT BATOK,BLK 150/158 BUKIT BATOK STREET 11,18071.3516,36683.9531,1.3480295181730997,103.74410352317251,95.0,HDB,hdb
U60,BUKIT BATOK,BLK 451 BUKIT BATOK WEST AVENUE 6,18060.8019,37237.9017,1.3530392226587296,103.74400854476245,558.0,HDB,hdb
U63,BUKIT BATOK,BLK 377A BUKIT BATOK STREET 31,18710.2749,37928.4781,1.3592847521921212,103.74984425559444,83.0,HDB,hdb
U64,BUKIT BATOK,BLK 461 BUKIT BATOK WEST AVENUE 8,17583.3446,37408.1445,1.3545786731075924,103.73971823110486,382.0,HDB,hdb
U65,BUKIT BATOK,BLK 439 BUKIT BATOK WEST AVENUE 8,17611.6169,37719.6743,1.357396043784814,103.7399721677351,391.0,HDB,hdb
U66,BUKIT BATOK,BLK 436 BUKIT BATOK WEST AVENUE 5,17572.5965,37864.1469,1.3587025871060816,103.73962149393273,452.0,HDB,hdb
U67,BUKIT BATOK,BLK 432 BUKIT BATOK WEST AVENUE 8,17873.2383,38065.8645,1.3605269508051991,103.74232288778495,483.0,HDB,hdb
U68,BUKIT BATOK,BLK 460 BUKIT BATOK WEST AVENUE 9,17587.8746,37337.6914,1.3539415227867866,103.73975896046724,258.0,HDB,hdb
U69,BUKIT BATOK,BLK 467 BUKIT BATOK WEST AVENUE 9,18000.4363,37685.2975,1.3570852858259215,103.74346597267866,389.0,HDB,hdb
U7,BUKIT BATOK,BLK 159/164 BUKIT BATOK STREET 11,17847.5676,36758.9474,1.3487076641120466,103.7420926617603,291.0,HDB,hdb
U70,BUKIT BATOK,BLK 463 BUKIT BATOK STREET 41,17773.0352,37655.3275,1.3568141709085402,103.74142263735433,805.0,HDB,hdb
U71,BUKIT BATOK,BLK 113C BUKIT BATOK WEST AVENUE 6,18208.6126,36824.4404,1.3493000790224619,103.74533685166266,89.0,HDB,hdb
U8,BUKIT BATOK,BLK 165/168 BUKIT BATOK WEST AVENUE 8,17825.5193,36588.034,1.347161978578856,103.74189460190108,121.0,HDB,hdb
U9,BUKIT BATOK,BLK 169/177 BUKIT BATOK WEST AVENUE 8,17748.6389,36445.3951,1.3458719785511368,103.74120383317222,400.0,HDB,hdb
UA2,TOA PAYOH,BLK 3 TO 5 UPPER ALJUNIED LANE,33109.332,35098.3344,1.3336909599995805,103.87922883841398,73.0,HDB,hdb
UA3,TOA PAYOH,BLK 10/11/19 TO 21 JOO SENG ROAD,33265.027,35204.8735,1.3346544348736107,103.88062786478974,245.0,HDB,hdb
UA5,TOA PAYOH,BLK 12 TO 18 JOO SENG ROAD,33326.6984,35410.4255,1.336513362841354,103.88118205349492,337.0,HDB,hdb
UAM1,TOA PAYOH,BLK 2A JOO SENG ROAD,33107.6324,35187.5516,1.334497808758932,103.87921358148871,466.0,HDB,hdb
UBK2,KALLANG,BLK 11/15/18 UPPER BOON KENG,32237.8125,33097.6016,1.3155971787693,103.87139746428304,287.0,HDB,hdb
UBK4,KALLANG,BLK 19/20 UPPER BOON KENG,32537.2679,33063.4121,1.3152879383142535,103.8740882168002,53.0,HDB,hdb
UBK5,KALLANG,BLK 38/39 UPPER BOON KENG,32522.9258,33422.543,1.3185357926226657,103.87395939841522,143.0,HDB,hdb
UBKM,KALLANG,BLK 13A UPPER BOON KENG ROAD,32179.7655,33010.5845,1.3148102349625574,103.8708758709943,343.0,HDB,hdb
UBM1,KALLANG,BLK 5 UPPER BOON KENG ROAD,32374.0247,32770.798,1.3126416639781904,103.87262135331005,914.0,HDB,hdb
UBM2,KALLANG,BLK 8 UPPER BOON KENG ROAD,32125.5883,32822.4057,1.3131084199960439,103.87038903663993,485.0,HDB,hdb
V0007,KALLANG,VERDUN ROAD OFF STREET,30538.535500039994,32514.52469989793,1.310324224867271,103.85612855572867,18.0,URA,lta
W0029,QUEENSTOWN,WEST COAST PARK 1 OFF STREET,21111.889600037546,30225.540999860532,1.2896228087061794,103.77142607054463,69.0,URA,lta
W0055,BUKIT TIMAH,WARNA ROAD OFF STREET,23868.708300037473,32598.136299899288,1.3110802058970243,103.79619690369877,42.0,URA,lta
W10,WOODLANDS,BLK 4/5 MARSILING ROAD,21545.6709,46781.8077,1.4393517930056627,103.77532018596393,116.0,HDB,hdb
W100,WOODLANDS,BLK 537-547 WOODLANDS DRIVE 16,23428.6148,45604.437,1.4287044514208955,103.79224044528144,282.0,HDB,hdb
W101,WOODLANDS,BLK 686 WOODLANDS DRIVE 73,24936.0215,47134.7585,1.4425443267234446,103.80578572471464,486.0,HDB,hdb
W102,WOODLANDS,BLK 687 WOODLANDS DRIVE 75,25028.4866,46986.64,1.4412048068517598,103.80661662993342,452.0,HDB,hdb
W103,WOODLANDS,BLK 766A WOODLANDS CIRCLE,23995.6932,47488.7994,1.4457460247850311,103.79733590276847,339.0,HDB,hdb
W104,WOODLANDS,BLK 688 WOODLANDS DRIVE 75,25131.0901,47292.9142,1.4439746500165003,103.80753859127638,696.0,HDB,hdb
W105,WOODLANDS,BLK 689 WOODLANDS DRIVE 75,25278.0655,47369.5027,1.4446673032445208,103.8088593028172,126.0,HDB,hdb
W106,WOODLANDS,BLK 690 WOODLANDS DRIVE 75,25235.6886,47178.0376,1.4429357583642513,103.80847852325738,709.0,HDB,hdb
W107,WOODLANDS,BLK 569A-569B CHAMPIONS WAY,23134.4358,45725.666,1.4298007532188757,103.78959695405756,50.0,HDB,hdb
W108,WOODLANDS,BLK 302A WOODLANDS STREET 31,21543.8287,45922.7283,1.4315825936751374,103.7753038278818,71.0,HDB,hdb
W109,WOODLANDS,BLK 764B WOODLANDS CIRCLE,23995.785,47408.7711,1.4450222780478064,103.79733673907886,22.0,HDB,hdb
W11,WOODLANDS,BLK 22/27 MARSILING DRIVE,21255.3672,47104.1328,1.4422667144042824,103.77271145021486,303.0,HDB,hdb
W11M,WOODLANDS,BLK 29A MARSILING DR,21271.52,47154.7049,1.4427240737592832,103.7728565868057,298.0,HDB,hdb
W12M,WOODLANDS,BLK 34A MARSILING DRIVE,21198.8774,47366.6434,1.4446407499951675,103.77220377085833,459.0,HDB,hdb
W13,WOODLANDS,BLK 201/206 MARSILING DRIVE,21488.674,47244.6194,1.4435372787951029,103.77480790698245,272.0,HDB,hdb
W14,WOODLANDS,BLK 210/218 MARSILING CRESCENT,21284.6738,47633.2891,1.4470522162929982,103.77297467231791,328.0,HDB,hdb
W17,WOODLANDS,BLK 101-113 WOODLANDS STREET 13,22249.7662,46486.5748,1.4366819678680178,103.7816472217671,406.0,HDB,hdb
W18,WOODLANDS,BLK 114-133 MARSILING RISE,22115.7552,46747.594,1.4390425021739435,103.78044295062529,563.0,HDB,hdb
W181,WOODLANDS,BLK 181 MARSILING ROAD,21988.2079,46815.199,1.4396538699810133,103.77929680078367,275.0,HDB,hdb
W182,WOODLANDS,BLK 182 WOODLANDS STREET 13,21621.1257,46318.1491,1.4351586520067259,103.77599832470004,425.0,HDB,hdb
W185,WOODLANDS,BLK 185 WOODLANDS STREET 13,21673.9257,46440.8216,1.436268069028048,103.77647275536083,540.0,HDB,hdb
W187,WOODLANDS,BLK 187 MARSILING ROAD,21499.7537,46568.872,1.4374260701227373,103.77490762461252,634.0,HDB,hdb
W19,WOODLANDS,BLK 134-143 MARSILING ROAD,21755.788,46587.4955,1.4375945522901385,103.77720833374295,322.0,HDB,hdb
W20,WOODLANDS,BLK 144-166 WOODLANDS STREET 13,21482.2371,46304.8149,1.4350380305719785,103.77475028200838,781.0,HDB,hdb
W21,WOODLANDS,BLK 167-179 WOODLANDS STREET 13,21847.2739,46264.664,1.434675002710207,103.77803049237724,495.0,HDB,hdb
W23,WOODLANDS,BLK 336-350 WOODLANDS STREET 32,22191.7187,45992.2266,1.432211251704956,103.78112571086996,628.0,HDB,hdb
W24,WOODLANDS,BLK 321-335 WOODLANDS STREET 32,21992.0066,45860.9547,1.4310240348406782,103.77933113821558,557.0,HDB,hdb
W25,WOODLANDS,BLK 307-320 WOODLANDS AVENUE 1,21642.9242,45782.9456,1.430318472653442,103.7761943248137,470.0,HDB,hdb
W26,WOODLANDS,BLK 301/302 WOODLANDS STREET 31,21430.5762,45933.9805,1.431684328302078,103.77428614577339,20.0,HDB,hdb
W27,WOODLANDS,BLK 303 WOODLANDS STREET 31,21388.7832,45861.0977,1.4310251932285876,103.7739106135832,4.0,HDB,hdb
W28,WOODLANDS,BLK 304/305 WOODLANDS STREET 31,21382.8242,45760.7109,1.4301173304284711,103.77385708979327,27.0,HDB,hdb
W3,WOODLANDS,BLK 4A/6A WOODLANDS CENTRE ROAD,20906.7446,46925.2015,1.4406484395019046,103.76957878115822,1000.0,HDB,hdb
W30,WOODLANDS,BLK 305 WOODLANDS STREET 31,21406.332,45779.8253,1.430290199551382,103.77406832476404,285.0,HDB,hdb
W36,WOODLANDS,BLK 801-810 WOODLANDS STREET 81,22780.8105,47005.8672,1.4413783621115421,103.78641906620277,539.0,HDB,hdb
W37,WOODLANDS,BLK 816-821 WOODLANDS STREET 82,23227.4135,47060.8098,1.4418753225467174,103.79043221999984,50.0,HDB,hdb
W39,WOODLANDS,BLK 830-836 WOODLANDS STREET 83,23315.9648,46842.418,1.4399002817927802,103.79122797617181,210.0,HDB,hdb
W4,WOODLANDS,BLK 6/7 MARSILING DRIVE,21712.5314,47125.2891,1.44245815058537,103.77681951196664,32.0,HDB,hdb
W40,WOODLANDS,BLK 837-850 WOODLANDS STREET 82,23403.6522,47029.9515,1.441596280822765,103.7920159018694,304.0,HDB,hdb
W41,WOODLANDS,BLK 851-856 WOODLANDS STREET 83,23548.9652,46854.6331,1.4400107886452522,103.7933217086181,251.0,HDB,hdb
W43,WOODLANDS,BLK 406A WOODLANDS STREET 41,21182.9312,45692.8787,1.4295038333628696,103.77206088192716,323.0,HDB,hdb
W44,WOODLANDS,BLK 413A WOODLANDS STREET 41,21205.5217,45525.4699,1.427989855032433,103.77226391845845,245.0,HDB,hdb
W45,WOODLANDS,BLK 421A WOODLANDS STREET 41,21528.0175,45524.5271,1.427981404325167,103.77516184012644,324.0,HDB,hdb
W46,WOODLANDS,BLK 426A WOODLANDS STREET 41,21362.6102,45378.0962,1.4266570986026135,103.77367553747698,407.0,HDB,hdb
W48,WOODLANDS,BLK 874A WOODLANDS STREET 81,23070.931,47203.7395,1.4431678994120087,103.7890260469373,291.0,HDB,hdb
W49,WOODLANDS,BLK 839A WOODLANDS STREET 82,23405.0247,47174.9596,1.4429076813582218,103.79202821147746,833.0,HDB,hdb
W4L,WOODLANDS,BLK 21 MARSILING LANE,21788.7021,47310.4843,1.4441330049774515,103.77750393928191,20.0,HDB,hdb
W4M,WOODLANDS,BLK 7A MARSILING DRIVE,21619.4951,47025.8162,1.4415585331685616,103.77598351244053,355.0,HDB,hdb
W5,WOODLANDS,BLK 10/13 MARSILING LANE,21865.5141,46936.8596,1.4407540972608288,103.7781942519941,205.0,HDB,hdb
W50,WOODLANDS,BLK 846A WOODLANDS AVENUE 4,23590.4851,47176.9397,1.4429256184927517,103.79369475477213,254.0,HDB,hdb
W505,WOODLANDS,BLK 505A WOODLANDS DRIVE 14,23357.861,45984.0543,1.4321375604817523,103.79160459490237,368.0,HDB,hdb
W509,WOODLANDS,BLK 509A WOODLANDS DRIVE 14,23101.6173,46110.9586,1.4332851933446518,103.78930198286736,583.0,HDB,hdb
W51,WOODLANDS,BLK 866A WOODLANDS STREET 83,23472.5842,47106.6555,1.4422899750242872,103.79263531082324,304.0,HDB,hdb
W516,WOODLANDS,BLK 516A WOODLANDS DRIVE 14,23265.6873,46208.4999,1.4341673493432678,103.79077629022994,574.0,HDB,hdb
W517,WOODLANDS,BLK 517A WOODLANDS DRIVE 14,23348.3676,46205.981,1.4341445831089241,103.7915192513934,1158.0,HDB,hdb
W52,WOODLANDS,BLK 823A WOODLANDS STREET 82,23122.1725,47008.073,1.4413983720664565,103.78948653597355,285.0,HDB,hdb
W527,WOODLANDS,BLK 527A WOODLANDS DRIVE 14,23463.7611,45965.5899,1.431970592407991,103.79255620965694,660.0,HDB,hdb
W53,WOODLANDS,BLK 881A WOODLANDS STREET 82,23338.8254,47350.3849,1.444494152740706,103.79143331679907,397.0,HDB,hdb
W536,WOODLANDS,BLK 536A WOODLANDS DRIVE 14,23348.8456,45873.6556,1.4311391533760722,103.79152360115765,326.0,HDB,hdb
W54,WOODLANDS,BLK 824A WOODLANDS STREET 81,23076.3795,46789.1914,1.4394188788302418,103.78907507943342,267.0,HDB,hdb
W546,WOODLANDS,BLK 546A WOODLANDS DRIVE 16,23558.6725,45719.8134,1.4297478943267081,103.79340911605199,631.0,HDB,hdb
W549,WOODLANDS,BLK 549A WOODLANDS DRIVE 44,23728.429,46002.0615,1.4323004696114001,103.79493449356093,429.0,HDB,hdb
W55,WOODLANDS,BLK 859A WOODLANDS STREET 83,23683.3329,46831.8539,1.4398048028708437,103.79452913617192,373.0,HDB,hdb
W554,WOODLANDS,BLK 554A WOODLANDS DRIVE 53,23871.6965,46028.6081,1.432540568742617,103.79622188281198,376.0,HDB,hdb
W56,WOODLANDS,BLK 891C WOODLANDS DRIVE 50,23342.6004,46649.9806,1.4381599526095137,103.79146735457682,537.0,HDB,hdb
W56L,,,,,,,10.0,HDB,hdb
W57,WOODLANDS,BLK 892C WOODLANDS DRIVE 50,23118.191,46497.6326,1.4367821347968852,103.78945084654232,483.0,HDB,hdb
W570,WOODLANDS,BLK 570 WOODLANDS AVENUE 1,23182.8035,45847.6356,1.430903810123998,103.79003156211428,341.0,HDB,hdb
W574,WOODLANDS,BLK 574 WOODLANDS DRIVE 16,24118.936,45812.819,1.4305890857053527,103.79844359182066,479.0,HDB,hdb
W578,WOODLANDS,BLK 578A WOODLANDS DRIVE 16,23923.9837,45898.4854,1.4313637939913746,103.79669175117753,400.0,HDB,hdb
W579,WOODLANDS,BLK 579A WOODLANDS DRIVE 16,23795.194,45862.9987,1.4310428462888094,103.79553446041857,418.0,HDB,hdb
W58,WOODLANDS,BLK 895D WOODLANDS DRIVE 50,23429.9641,46416.6889,1.4360501619073867,103.7922524391746,382.0,HDB,hdb
W586,WOODLANDS,BLK 586A WOODLANDS DRIVE 16,23702.34,45656.6161,1.4291763831618314,103.79470011164317,360.0,HDB,hdb
