carpark_id,area,address,latitude,longitude,x_coordinate,y_coordinate,total_lots,agency,dataset
BL10,JURONG WEST,BLK 188/191 BOON LAY DRIVE,1.343761841,103.7114251,14434.5806,36212.2117,239,HDB,hdb
BL13,JURONG WEST,BLK 198/206 BOON LAY DRIVE,1.344692588,103.7150352,14836.3467,36315.1094,413,HDB,hdb
BL15,JURONG WEST,BLK 257A BOON LAY DRIVE,1.34597152,103.7075622,14004.6897,36456.5691,20,HDB,hdb
BL17,JURONG WEST,BLK 268 BOON LAY DRIVE,1.347871241,103.7077407,14024.5648,36666.6301,443,HDB,hdb
BL18,JURONG WEST,BLK 208A BOON LAY PLACE,1.346549556,103.7144238,14768.3178,36520.4472,391,HDB,hdb
BL19,JURONG WEST,BLK 212A BOON LAY PLACE,1.348777281,103.7133457,14648.3419,36766.7841,369,HDB,hdb
BL22,JURONG WEST,BLK 196 BOON LAY DRIVE,1.342543506,103.7137499,14693.2928,36077.4814,358,HDB,hdb
BL23,JURONG WEST,BLK 216 BOON LAY AVENUE,1.349560589,103.7115798,14451.8262,36853.4082,631,HDB,hdb
BL24,JURONG WEST,BLK 237 BOON LAY DRIVE,1.341157057,103.7101759,14295.5416,35924.1943,200,HDB,hdb
BL3,JURONG WEST,BLK 174/179 BOON LAY DRIVE,1.346874708,103.7092346,14190.8096,36556.4297,196,HDB,hdb
BL8,JURONG WEST,BLK 221 BOON LAY PLACE,1.345425134,103.7133909,14653.3598,36396.1197,679,HDB,hdb
BL8L,JURONG WEST,BLK 221 BOON LAY PLACE,1.346224586,103.7120638,14505.671,36484.5266,6,HDB,hdb
BLM,KALLANG,BLK 10 BENDEMEER ROAD,1.31550644,103.8609587,31076.0824,33087.5529,556,HDB,hdb
BM1,BUKIT MERAH,BLK 28 JALAN BUKIT MERAH,1.286302696,103.8095715,25357.1463,29858.3486,60,HDB,hdb
BM10,BUKIT MERAH,BLK 56/57 LENGKOK BAHRU,1.288095999,103.8140698,25857.7754,30056.6386,422,HDB,hdb
BM13,BUKIT MERAH,BLK 44/47 LENGKOK BAHRU,1.286898204,103.8121918,25648.7676,29924.1943,143,HDB,hdb
BM14,BUKIT MERAH,BLK 34-36 JALAN RUMAH TINGGI,1.289040737,103.8088479,25276.6255,30161.1078,136,HDB,hdb
BM19,BUKIT MERAH,BLK 88/89 REDHILL CLOSE,1.285712448,103.8187026,26373.3689,29793.0744,102,HDB,hdb
BM2,BUKIT MERAH,BLK 28 HOY FATT ROAD,1.286850768,103.8099531,25399.6152,29918.9512,53,HDB,hdb
